,entry time,exit time,id,entry,exit,qty,leverage,stop loss,take profit,actualised,type,abs capital gain,capital gain
663,1631979903162,1631983323.525,331,48405.7,48212.0772,4.3439999999999985,125,48212.0772,47921.643,True,SHORT,0.005020080321285203,1051.371804000013
664,1631980804008,1631983264.4689999,332,48420.21,48226.52916000001,4.4510000000000005,125,48226.52916000001,48904.4121,True,LONG,-0.0050000000000000044,-1077.5917735500007
665,1631980804008,1631983325.2670002,332,48420.21,48226.52916000001,4.4510000000000005,125,48226.52916000001,47936.0079,True,SHORT,0.005020080321285203,1077.5917735500134
666,1631990704282,1631992383.589,333,48340.51,48147.14796,4.346,125,48147.14796,48823.91510000001,True,LONG,-0.0050000000000000044,-1050.439282300001
667,1631990704282,1631992443.054,333,48340.51,48147.14796,4.346,125,48147.14796,47857.1049,True,SHORT,0.005020080321285203,1050.4392823000132
668,1631992505237,1631995622.718,334,48182.81,47990.078760000004,4.359,125,47990.078760000004,48664.6381,True,LONG,-0.0050000000000000044,-1050.1443439500008
669,1631992505237,1631995682.964,334,48182.81,47990.078760000004,4.359,125,47990.078760000004,47700.9819,True,SHORT,0.005020080321285203,1050.144343950013
670,1632007802911,1632012062.498,335,48175.01,47982.30996000001,4.3580000000000005,125,47982.30996000001,48656.7601,True,LONG,-0.005000000000000143,-1049.73346790003
671,1632007802911,1632012122.756,335,48175.01,47982.30996000001,4.3580000000000005,125,47982.30996000001,47693.25990000001,True,SHORT,0.005020080321285203,1049.733467900013
672,1632013204006,1632014883.498,336,47925.11,47733.40956,4.379,125,47733.40956,48404.3611,True,LONG,-0.0050000000000000044,-1049.3202834500012
673,1632013204006,1632015723.262,336,47925.11,47733.40956,4.379,125,47733.40956,47445.8589,True,SHORT,0.005020080321285203,1049.320283450013
674,1632023104051,1632031864.294,338,47916.75,48108.417,4.488,125,48108.417,48395.9175,True,LONG,0.0050000000000000044,1075.251870000001
675,1632023104051,1632031803.205,338,47916.75,48108.417,4.488,125,48108.417,47437.5825,True,SHORT,-0.004980079681274896,-1075.2518699999991
676,1632021303654,1632035102.79,337,47966.72,48158.58688,4.374,125,48158.58688,48446.38720000001,True,LONG,0.0050000000000000044,1049.032166400001
677,1632021303654,1632034863.204,337,47966.72,48158.58688,4.374,125,48158.58688,47487.0528,True,SHORT,-0.004980079681274896,-1049.032166399999
678,1632031204650,1632039422.4120002,339,48010.46,48202.50184,4.629,125,48202.50184,48490.5646,True,LONG,0.0050000000000000044,1111.202096700001
679,1632031204650,1632038762.972,339,48010.46,48202.50184,4.629,125,48202.50184,47530.3554,True,SHORT,-0.004980079681274896,-1111.202096699999
680,1632047403071,1632049622.393,340,48128.66,47936.14536,4.364,125,47936.14536,48609.9466,True,LONG,-0.0050000000000000044,-1050.167361200001
681,1632047403071,1632049743.4620001,340,48128.66,47936.14536,4.364,125,47936.14536,47647.3734,True,SHORT,0.005020080321285203,1050.1673612000134
682,1632063603115,1632073202.9420002,341,47578.54,47388.22584,4.413,125,47388.22584,48054.3254,True,LONG,-0.0050000000000000044,-1049.8204851000012
683,1632063603115,1632073262.6920002,341,47578.54,47388.22584,4.413,125,47388.22584,47102.7546,True,SHORT,0.005020080321285203,1049.820485100013
684,1632072604301,1632077104.679,342,47500.0,47690.0,4.5310000000000015,125,47690.0,47975.0,True,LONG,0.0050000000000000044,1076.1125000000009
685,1632072604301,1632076263.6660001,342,47500.0,47690.0,4.5310000000000015,125,47690.0,47025.0,True,SHORT,-0.004980079681274896,-1076.112499999999
686,1632073504654,1632079863.015,343,47356.88,47546.30752,4.518,125,47546.30752,47830.4488,True,LONG,0.0050000000000000044,1069.7919192000008
687,1632073504654,1632076202.75,343,47356.88,47546.30752,4.518,125,47546.30752,46883.3112,True,SHORT,-0.004980079681274896,-1069.7919191999988
688,1632078004207,1632081182.363,344,47666.57,47475.90372,4.751,125,47475.90372,48143.2357,True,LONG,-0.0050000000000000044,-1132.319370350001
689,1632078004207,1632083044.68,344,47666.57,47475.90372,4.751,125,47475.90372,47189.9043,True,SHORT,0.005020080321285203,1132.3193703500142
690,1632082503954,1632085924.157,345,47396.17,47585.75468,4.7330000000000005,125,47585.75468,47870.1317,True,LONG,0.0050000000000000044,1121.6303630500008
691,1632082503954,1632085262.855,345,47396.17,47585.75468,4.7330000000000005,125,47585.75468,46922.2083,True,SHORT,-0.004980079681274896,-1121.6303630499988
692,1632086104124,1632089882.4420002,346,47543.01,47352.83796,4.418,125,47352.83796,48018.4401,True,LONG,-0.0050000000000000044,-1050.225090900001
693,1632086104124,1632091263.3920002,346,47543.01,47067.5799,4.418,125,47352.83796,47067.5799,True,SHORT,0.01262626262626243,2625.56272724996
694,1632087904819,1632090005.235,347,47496.18,47306.19528,4.533,125,47306.19528,47971.1418,True,LONG,-0.0050000000000000044,-1076.500919700001
695,1632087904819,1632091563.8379998,347,47496.18,47021.2182,4.533,125,47306.19528,47021.2182,True,SHORT,0.01262626262626243,2691.2522992499585
696,1632104102873,1632104883.002,348,47202.11,47013.30156,5.05,125,47013.30156,47674.1311,True,LONG,-0.0050000000000000044,-1191.853277500001
697,1632104102873,1632105244.3520002,348,47202.11,46730.0889,5.05,125,47013.30156,46730.0889,True,SHORT,0.012626262626262708,2979.6331937500195
698,1632105903305,1632106982.9120002,349,45970.54,45786.65784,5.5310000000000015,125,45786.65784,46430.2454,True,LONG,-0.0050000000000000044,-1271.3152837000011
699,1632105903305,1632106983.938,349,45970.54,45510.8346,5.5310000000000015,125,45786.65784,45510.8346,True,SHORT,0.012626262626262708,3178.288209250021
700,1632147303417,1632147603.2129998,350,43950.29,43774.48884,6.17,125,43774.48884,44389.7929,True,LONG,-0.005000000000000143,-1355.8664465000388
701,1632147303417,1632147842.661,350,43950.29,43774.48884,6.17,125,43774.48884,43510.7871,True,SHORT,0.005020080321285203,1355.8664465000168
702,1632153603284,1632154203.095,351,43836.91,43661.56236,6.184,125,43661.56236,44275.27910000001,True,LONG,-0.0050000000000000044,-1355.437257200001
703,1632153603284,1632154323.461,351,43836.91,43661.56236,6.184,125,43661.56236,43398.5409,True,SHORT,0.005020080321285203,1355.437257200017
704,1632156303422,1632157622.56,352,43986.01,43810.06596,6.1610000000000005,125,43810.06596,44425.8701,True,LONG,-0.0050000000000000044,-1354.9890380500012
705,1632156303422,1632158283.198,352,43986.01,43810.06596,6.1610000000000005,125,43810.06596,43546.1499,True,SHORT,0.005020080321285203,1354.989038050017
706,1632159003780,1632162182.235,353,43958.15,43782.3174,6.162000000000001,125,43782.3174,44397.7315,True,LONG,-0.0050000000000000044,-1354.3506015000016
707,1632159003780,1632162182.752,353,43958.15,43782.3174,6.162000000000001,125,43782.3174,43518.5685,True,SHORT,0.005020080321285203,1354.3506015000169
708,1632159903263,1632162003.3170002,354,44065.91,43889.64636000001,6.301,125,43889.64636000001,44506.5691,True,LONG,-0.004999999999999866,-1388.2964945499627
709,1632159903263,1632162424.869,354,44065.91,43625.250900000014,6.301,125,43889.64636000001,43625.250900000014,True,SHORT,0.01262626262626243,3470.7412363749468
710,1632163503056,1632164823.812,355,43455.26,43281.43896,6.657,125,43281.43896,43889.81260000001,True,LONG,-0.0050000000000000044,-1446.4083291000013
711,1632163503056,1632164883.283,355,43455.26,43281.43896,6.657,125,43281.43896,43020.7074,True,SHORT,0.005020080321285203,1446.408329100018
712,1632169803313,1632170522.1560001,356,43654.49,43479.87204,6.624,125,43479.87204,44091.0349,True,LONG,-0.005000000000000143,-1445.8367088000416
713,1632169803313,1632171543.32,356,43654.49,43479.87204,6.624,125,43479.87204,43217.9451,True,SHORT,0.005020080321285203,1445.8367088000175
714,1632171603439,1632171724.9020002,357,43548.51,43722.70404,6.638,125,43722.70404,43983.9951,True,LONG,0.0050000000000000044,1445.3750469000015
715,1632171603439,1632171662.551,357,43548.51,43722.70404,6.638,125,43722.70404,43113.0249,True,SHORT,-0.004980079681274896,-1445.375046899999
716,1632173402852,1632175083.329,358,43749.04,43574.04384,6.61,125,43574.04384,44186.5304,True,LONG,-0.0050000000000000044,-1445.9057720000014
717,1632173402852,1632175263.516,358,43749.04,43574.04384,6.61,125,43574.04384,43311.5496,True,SHORT,0.005020080321285203,1445.9057720000178
718,1632179703846,1632180062.336,359,43236.11,43063.16556,6.686,125,43063.16556,43668.4711,True,LONG,-0.0050000000000000044,-1445.3831573000016
719,1632179703846,1632180363.47,359,43236.11,42803.7489,6.686,125,43063.16556,42803.7489,True,SHORT,0.012626262626262708,3613.457893250023
720,1632190503626,1632190622.23,360,42900.0,42728.4,7.187,125,42728.4,43329.0,True,LONG,-0.0050000000000000044,-1541.6115000000016
721,1632190503626,1632190682.644,360,42900.0,42728.4,7.187,125,42728.4,42471.0,True,SHORT,0.005020080321285203,1541.6115000000193
722,1632198603116,1632200582.702,361,42347.5,42516.89,7.278,125,42516.89,42770.975,True,LONG,0.0050000000000000044,1541.0255250000016
723,1632198603116,1632200523.265,361,42347.5,42516.89,7.278,125,42516.89,41924.025,True,SHORT,-0.004980079681274896,-1541.0255249999989
724,1632205803603,1632206343.62,362,42833.02,43004.352080000004,7.1979999999999995,125,43004.352080000004,43261.3502,True,LONG,0.0050000000000000044,1541.5603898000015
725,1632205803603,1632206282.668,362,42833.02,43004.352080000004,7.1979999999999995,125,43004.352080000004,42404.689799999986,True,SHORT,-0.004980079681274896,-1541.5603897999986
726,1632229204028,1632229742.446,363,43135.27,42962.72892,7.15,125,42962.72892,43566.6227,True,LONG,-0.005000000000000143,-1542.0859025000439
727,1632229204028,1632229864.075,363,43135.27,42962.72892,7.15,125,42962.72892,42703.9173,True,SHORT,0.005020080321285203,1542.0859025000186
728,1632240902868,1632241143.3079998,364,42989.25,42817.293,7.1720000000000015,125,42817.293,43419.1425,True,LONG,-0.0050000000000000044,-1541.5945050000016
729,1632240902868,1632241203.564,364,42989.25,42817.293,7.1720000000000015,125,42817.293,42559.3575,True,SHORT,0.005020080321285203,1541.5945050000191
730,1632243603595,1632244923.2629998,365,42454.93,42285.11028,7.26,125,42285.11028,42879.4793,True,LONG,-0.0050000000000000044,-1541.1139590000016
731,1632243603595,1632245104.326,365,42454.93,42030.3807,7.26,125,42285.11028,42030.3807,True,SHORT,0.012626262626262708,3852.784897500025
732,1632272404699,1632272464.074,367,41061.16,40896.915360000006,8.66,125,40896.915360000006,41471.771600000015,True,LONG,-0.004999999999999866,-1777.9482279999525
733,1632272404699,1632272584.5779998,367,41061.16,40896.915360000006,8.66,125,40896.915360000006,40650.5484,True,SHORT,0.005020080321284925,1777.948227999924
